,qu,qa,ans,is_duplicate
0,is lamborghini better than ferrari,why is lamborghini better than ferrari,Lamborghinis.Thats why I have 24 of them compared to only 4 Ferraris.,1
1,what does a trump presidency mean for indian students looking to pursue master s degrees in america,how would trump presidency affect indian students in america,"In the last Presidential debate, the conservatives attacked Trump for changing his mind about international college students. They now are the good immigrants and we need them.There is a general movement in favor of allowing international college students to stay, especialy those with useful,practical skills.",1
2,why is north america considered the west,is north america considered the west,"The British invented the Prime Meridian.  They ran it through their country.  Europeans then went west of the Prime Meridian and conquered that land for themselves.  It is ""the West"" because it is west of the Prime Meridian and was labeled by the conquerors and the map-makers.",1
3,if you could live in a movie what movie would it be and why,if you could enter the reality inside a movie which movie universe would you choose and what would you do,"Midnight in Paris..!Fantasising about living in Paris, that too in 20s. Drinking every night with Hemingway!!! Hanging out every night with Fitzgerald, Stein, Picasso… occasionally running into greats like Dali… It can't get better than that…",1
4,what jobs are in art stream,what are scopes of arts stream,"You can opt anything as your carrier other than engineering & medicalLike IAS , CA , journalism , artist , musician , dancer basically , you can whatever is your passion other than those mentioned above",1
5,what are the mathematical pre requisites for studying machine learning,what mathematics are necessary for machine learning,"Check the course 'Machine Learning' at Coursera, presented by Stanford University: Coursera",1
6,why is quora blocking google now on tap,why does quora block google now on tap,"In order to support Google now Quora engineers would have to add extra code to the app. They are not blocking it as such, they just haven't specifically added support for it (yet) You can work round it by selecting a word or words  then choose the define option, you will either get the information you need or use the search web option to seek further information.",1
7,why do i dream every night,why is that i am seeing dreams every single night,"Dreaming every night is totally normal. It's the activity of your unconscious. Start paying attention to what's going on in your dreams in relation to what's going on in your life, and you might be pleasantly surprised.",1
8,what would be the possible impact on indian economy after cancellation of 500 and 1000 rs notes,how can the ban of 500 and 1000 rupee notes increase the indian economy,"A really smart move, I must say.Now that old not will be useless. People will exchange them for new ones or deposit them in bank. What about people who have tons of black money sitting in their house? That will be useless. Yes, they will try different tricks but they will still loose a lot. I am wondering why no one ever thought of this before.",1
9,what are the left and right wings of the political ideological spectrum,how does the political left differ from the political right,"Left-leaning means the same thing as moderate-liberal, Blue, or DemocratRight-leaning means the same thing as moderate-conservative, Red, or Republican.",1
10,why doesn t trump release his tax records for years not being audited,is there a reason why trump does not release his past years tax return since they are no longer under audit,"No.It is plain and clear Donald Trump will never release his tax information. He has things to hide and his supporters want to help him hide it. He doesn't care what anyone else thinks.Trump has a ""yuge"" walk-in closet filled with skeletons. His taxes is but one of them. He will never release them voluntarily.",1
11,how much and how often should you do exercise,how often should i exercise,A normal person should exercise 5 times a week.Research says that one should do 2 days of intensive cardio and 3 days of weight training.tranceformfitness.com/blogs,1
12,what are the bitter truths of going to germany for ms as an indian student,what are the bitter truths of going to germany norway for ms as an indian,"Low paying jobsHard to become citizenLanguage barrier.On the positive side, these countries work :): https://www.linkedin.com/pulse/w...",1
